cde,section,label,description,synonyms
SAT6D,WATER,SWC SAT layer 6,"Soil water at Saturation, soil layer 6 (cm3/cm3)",
SAT7D,WATER,SWC SAT layer 7,"Soil water at Saturation, soil layer 7 (cm3/cm3)",
SAT8D,WATER,SWC SAT layer 8,"Soil water at Saturation, soil layer 8 (cm3/cm3)",
SAT9D,WATER,SWC SAT layer 9,"Soil water at Saturation, soil layer 9 (cm3/cm3)",
SAT10D,WATER,SWC SAT layer10,"Soil water at Saturation, soil layer 10 (cm3/cm3)",
SAT11D,WATER,SWC SAT layer11,"Soil water at Saturation, soil layer 11 (cm3/cm3)",
SAT12D,WATER,SWC SAT layer12,"Soil water at Saturation, soil layer 12 (cm3/cm3)",
SAT13D,WATER,SWC SAT layer13,"Soil water at Saturation, soil layer 13 (cm3/cm3)",
SAT14D,WATER,SWC SAT layer14,"Soil water at Saturation, soil layer 14 (cm3/cm3)",
SAT15D,WATER,SWC SAT layer15,"Soil water at Saturation, soil layer 15 (cm3/cm3)",
SAT16D,WATER,SWC SAT layer16,"Soil water at Saturation, soil layer 16 (cm3/cm3)",
SAT17D,WATER,SWC SAT layer17,"Soil water at Saturation, soil layer 17 (cm3/cm3)",
SAT18D,WATER,SWC SAT layer18,"Soil water at Saturation, soil layer 18 (cm3/cm3)",
SAT19D,WATER,SWC SAT layer19,"Soil water at Saturation, soil layer 19 (cm3/cm3)",
SAT20D,WATER,SWC SAT layer20,"Soil water at Saturation, soil layer 20 (cm3/cm3)",
BD1D,WATER,BD layer 1,"Bulk Density, soil layer 1 (g/cm3)",
BD2D,WATER,BD layer 2,"Bulk Density, soil layer 2 (g/cm3)",
BD3D,WATER,BD layer 3,"Bulk Density, soil layer 3 (g/cm3)",
BD4D,WATER,BD layer 4,"Bulk Density, soil layer 4 (g/cm3)",
BD5D,WATER,BD layer 5,"Bulk Density, soil layer 5 (g/cm3)",
BD6D,WATER,BD layer 6,"Bulk Density, soil layer 6 (g/cm3)",
BD7D,WATER,BD layer 7,"Bulk Density, soil layer 7 (g/cm3)",
BD8D,WATER,BD layer 8,"Bulk Density, soil layer 8 (g/cm3)",
BD9D,WATER,BD layer 9,"Bulk Density, soil layer 9 (g/cm3)",
BD10D,WATER,BD layer10,"Bulk Density, soil layer 10 (g/cm3)",
BD11D,WATER,BD layer11,"Bulk Density, soil layer 11 (g/cm3)",
BD12D,WATER,BD layer12,"Bulk Density, soil layer 12 (g/cm3)",
BD13D,WATER,BD layer13,"Bulk Density, soil layer 13 (g/cm3)",
BD14D,WATER,BD layer14,"Bulk Density, soil layer 14 (g/cm3)",
BD15D,WATER,BD layer15,"Bulk Density, soil layer 15 (g/cm3)",
BD16D,WATER,BD layer16,"Bulk Density, soil layer 16 (g/cm3)",
BD17D,WATER,BD layer17,"Bulk Density, soil layer 17 (g/cm3)",
BD18D,WATER,BD layer18,"Bulk Density, soil layer 18 (g/cm3)",
BD19D,WATER,BD layer19,"Bulk Density, soil layer 19 (g/cm3)",
BD20D,WATER,BD layer20,"Bulk Density, soil layer 20 (g/cm3)",
SWTD,WATER,Total water,Total soil water in profile (mm),
SWXD,WATER,Extr water mm,Extractable water (mm),
TCADD,WATER,Canopy-air temp,Canopy-air temperature difference (oC),
TCnt,WATER,Cano.T midnight,Canopy temperature at midnight (oC),TCAN(h)
TDFC,WATER,Cum. tile drain,Cumulative water lost to tile drain (mm),
TDFD,WATER,Tile drainage,Water lost to tile drain (mm/d),
TMINA,WATER,Minimum temp oC,Avg minimum air temperature (oC),TMNA
TMAXA,WATER,Maximum temp oC,Avg maximum air temperature (oC),TMXA
TSRNIT,WATER,Surf T midnight,Surface temperature midnight (oC),TSURF
TS0D,WATER,Surface temp oC,Soil surface temperature (oC),
TS10,WATER,S-TMP layer 10,"Soil temperature, soil layer 10(oC)",
TS1D,WATER,S-TMP layer 1,"Soil temperature, soil layer 1 (oC)",
TS2D,WATER,S-TMP layer 2,"Soil temperature, soil layer 2 (oC)",
TS3D,WATER,S-TMP layer 3,"Soil temperature, soil layer 3 (oC)",
TS4D,WATER,S-TMP layer 4,"Soil temperature, soil layer 4 (oC)",
TS5D,WATER,S-TMP layer 5,"Soil temperature, soil layer 5 (oC)",
TS6D,WATER,S-TMP layer 6,"Soil temperature, soil layer 6 (oC)",
TS7D,WATER,S-TMP layer 7,"Soil temperature, soil layer 7 (oC)",
TS8D,WATER,S-TMP layer 8,"Soil temperature, soil layer 8 (oC)",
TS9D,WATER,S-TMP layer 9,"Soil temperature, soil layer 9 (oC)",
WINNIT,WATER,Wind speed(noon),Wind speed at midnight (m/s),WINDHR
CGRD,CARBON,CGR g/m2.d,Crop growth rate (g [top+store]/(m2.d)),
CHAD,CARBON,CH2O g/m2.d,Shoot carbohydrate accumulation (g [CH2O]/(m2.d)),
CSHn,CARBON,Lf conductance,Leaf conductance to water for sunlit leaves at noon m/s,CONDSH
CSHt,CARBON,Lf conductance,Leaf conductance to water for sunlit leaves midnight m/,CONDSH
CSLn,CARBON,Lf conductance,Leaf conductance to water for shaded leaves at noon m/s,CONDSL
CSLt,CARBON,Lf conductance,Leaf conductance to water for shaded leaves midnight m/,CONDSL
CL%D,CARBON,LEAF CH2O %,Carbohydrate in leaf (%),
CMAD,CARBON,CH2O MOB g/m2.d,Carbohydrate mobilization (g [CH2O]/(m2.d)),
CS%D,CARBON,STEM C %,Carbohydrate in stem (%),
CR%D,CARBON,Root CH2O %,Carbohydrate in root (%),
Enit,CARBON,Evap@midnt mm/h,Soil evaporation rate at midnight (mm/h),EHR
ENN,CARBON,Evap@noon mm/h,Soil evaporation rate at noon (mm/h),EHR
ETnt,CARBON,ET@midnite mm/h,Evapotranspiration rate at midnight (mm/h),
ETn,CARBON,ET@noon mm/h,Evapotranspiration rate at noon (mm/h),
GMT,CARBON,Mt S Ht Fx W/m2,Midnight surface Soil Heat Flux (W/m2),
GN,CARBON,Nn S Ht Fx W/m2,Noon surface Soil Heat Flux (W/m2),
GC%D,CARBON,GRAIN CH2O %,Seed carbohydrate concentration (%),
GRAD,CARBON,GR RESP g/m2.d,Growth respiration (g [CH2O]/(m2.d)),
HUM1,CARBON,SOIL C1 kg/ha,Soil carbon in layer 1 (kg/ha),
HUM2,CARBON,SOIL C2 kg/ha,Soil carbon in layer 2 (kg/ha),
HUM3,CARBON,SOIL C3 kg/ha,Soil carbon in layer 3 (kg/ha),
HUM4,CARBON,SOIL C4 kg/ha,Soil carbon in layer 4 (kg/ha),
HUM5,CARBON,SOIL C5 kg/ha,Soil carbon in layer 5 (kg/ha),
LH1n,CARBON,Nn Lt Ht 1 W/m2,Noon latent heat flux from sunlit leaves (W/m2),
LH2n,CARBON,Nn Lt Ht 2 W/m2,Noon latent heat flux from shaded leaves (W/m2),
LH3n,CARBON,Nn Lt Ht 3 W/m2,Noon latent heat flux from soil surface (W/m2),
LH1t,CARBON,Mt Lt Ht 1 W/m2,Midnight latent heat flux from sunlit leaves (W/m2),
LH2t,CARBON,Mt Lt Ht 2 W/m2,Midnight latent heat flux from shaded leaves (W/m2),
LH3t,CARBON,Mt Lt Ht 3 W/m2,Midnight latent heat flux from soil surface (W/m2),
LHN,CARBON,Nn Lt Ht (W/m2),Noon total latent heat flux (W/m2),
LHT,CARBON,MT Lt Ht (W/m2),Midnight total latent heat flux (W/m2),
LI%D,CARBON,LIGHT INTER %,Light (PAR) interception (%),
LI%N,CARBON,NOON LIGHT IN %,Noon light (PAR) interception (%),
LMHN,CARBON,"NOON PMAX,SHADE",Noon Pmax shaded leaves (mg/(m2.s)),
LMLN,CARBON,"NOON PMAX,LIGHT",Noon Pmax sunlit leaves (mg/(m2.s)),
LSHn,CARBON,LAI-shaded noon,Leaf area index of shaded leaves at noon (m2/m2),LAISH
LSHt,CARBON,LAIshaded night,Leaf area index of shaded leaves at midnight (m2/m2),LAISH
LSLt,CARBON,LAIsunlit night,Leaf area index of sunlit leaves at midnight (m2/m2),LAISL
LSLn,CARBON,LAI-sunlit noon,noon Leaf area index of sunlit leaves at noon,LAISL
MRAD,CARBON,M RESP g/m2.d,Maintenance resp (g [CH2O]/(m2.d)),
N%HN,CARBON,"NOON N,SHADE %",Noon N shaded leaves (%),
N%LN,CARBON,"NOON N,LIGHT %",Noon N sunlit leaves (%),
NHU1,CARBON,SOIL N1 kg/ha,Soil nitrogen in layer 1 (kg/ha),
NHU2,CARBON,SOIL N2 kg/ha,Soil nitrogen in layer 2 (kg/ha),
NHU3,CARBON,SOIL N3 kg/ha,Soil nitrogen in layer 3 (kg/ha),
NHU4,CARBON,SOIL N4 kg/ha,Soil nitrogen in layer 4 (kg/ha),
NHU5,CARBON,SOIL N5 kg/ha,Soil nitrogen in layer 5 (kg/ha),
OMAC,CARBON,OM APPL kg/ha,Cumulative organic matter applied (kg [dm]/ha),
ONAC,CARBON,ON APPL kg/ha,Cumulative N in applied organic matter (kg [N]/ha),
OPAC,CARBON,OP APPL kg/ha,Cumulative P in applied organic matter (kg [P]/ha),
PHAD,CARBON,P GROSS g/m2.d,Gross photosynthesis (g [CH2O]/(m2.d)),
PHAN,CARBON,"PG,NOON mg/m2.s","Gross photosyn.,noon (mg CO2/(m2.s))",
QC%D,CARBON,Storage CH2O %,Carbohydrate in stolon/rhizome/crown (%),
QHAD,CARBON,CH2O g/m2.d,Storage carbohydrate accumulation (g [CH2O]/(m2.d)),
RSHN,CARBON,Rshn s/m,Noon resistance of shaded leaves (s/m),
RSHT,CARBON,Rsht s/m,Midnight resistance of shaded leaves (s/m),
RSLN,CARBON,Rsln s/m,Noon resistance of sunlit leaves (s/m),
RSLT,CARBON,Rslt s/m,Midnight resistance of sunlit leaves (s/m),
RSSN,CARBON,Rssn s/m,Noon resistance of soil surface (s/m),
RSST,CARBON,Rsst s/m,Midnight resistance of soil surface (s/m),
SCDD,CARBON,SOIL ORG C,Soil organic C in top 20 cm (kg/ha),
SHN,CARBON,Noon Sn Ht W/m2,Noon total sensible heat (W/m2),
SHT,CARBON,Mdnt Sn Ht W/m2,Midnight total sensible heat (W/m2),
SH1N,CARBON,Nn Sn Ht 1 W/m2,Noon sensible heat from sunlit leaves (W/m2),
SH2N,CARBON,Nn Sn Ht 2 W/m2,Noon sensisble heat from shaded leaves (W/m2),
SH3N,CARBON,Nn Sn Ht 3 W/m2,Noon sensible heat from soil surface (W/m2),
SH1T,CARBON,Mt Sn Ht 1 W/m2,Midnight sensible heat from sunlit leaves (W/m2),
SN2T,CARBON,Mt Sn Ht 2 W/m2,Midnight sensible heat from shaded leaves (W/m2),
SN3T,CARBON,Mt Sn Ht 3 W/m2,Midnight sensible heat from soil surface (W/m2),
SLHN,CARBON,"NOON SLW,SHADE","SLW in shaded leaves,noon (mg [dm]/cm2)",
SLLN,CARBON,"NOON SLW,Light","SLW in sunlit leaves,noon (mg [dm]/cm2)",
SNDD,CARBON,SOIL ORG N,Soil organic N in top 20 cm (kg/ha),
SOCD,CARBON,Total OC kg/ha,Soil plus surface organic carbon SOM + FOM (kg/ha),
SOND,CARBON,SOIL ON kg/ha,Soil plus surface organic nitrogen SOM + FOM (kg/ha),
SOPD,CARBON,SOIL OP kg/ha,Soil plus surface organic phosphorus SOM + FOM (kg/ha),
SPDD,CARBON,SOIL ORG P,Soil organic P in top 20 cm (kg/ha),
TCNN,CARBON,Canopy T noon,Canopy temperature at noon (oC),
TDNC,CARBON,Cum tile N lost,Cumulative N lost to tile drain (kg[N]/ha/d),
TDND,CARBON,Tile N lost k/h,Daily N lost to tile drain (kg[N]/ha/d),
TEMt,CARBON,Temp/h midnight,Hourly air temperature at midnight,TAIRHR
TFOM,CARBON,RESIDUE kg/ha,Plant residue remaining (kg [dm]/ha),
TFON,CARBON,RESIDUE N kg/ha,Plant residue N remaining (kg/ha),
TGAV,CARBON,AVG CAN TMP oC,Daily average canopy temp (oC),
TGNN,CARBON,NOON CAN TMP oC,Noon canopy temperature (oC),
TGON,CARBON,NOON GRO TMP oC,Noon growth temperature (oC),
Tnit,CARBON,Temp midnightoC,Temperature midnight (oC),THR
TNN,CARBON,T@noon mm/h,Transpiration rate at noon (mm/h),
TSR1n,CARBON,Sur T sunlit nt,Surface temperature sunlit leaves midnight (oC),TSURF(1)
TSR1t,CARBON,Sur T sunlit nt,Surface temperature sunlit leaves midnight (oC),TSURF(1)
TSR2n,CARBON,Sur T sunlit nt,Surface temperature shaded leaves midnight (oC),TSURF(2)
TSR2t,CARBON,Sur T sunlit nt,Surface temperature shaded leaves midnight (oC),TSURF(2)
TSR3n,CARBON,Sur T sunlit nt,Surface temperature soil  midnight (oC),TSURF(3)
TSR3t,CARBON,Sur T sunlit nt,Surface temperature soil  midnight (oC),TSURF(3)
TWAD,CARBON,TOTAL WT kg/ha,Tops+roots+storage wt (kg [dm]/ha),
WDNN,CARBON,Wind speed(noon),Wind speed at noon (m/s),WINDHR
WINn,CARBON,Wind speed(noon),Wind speed at noon (m/s),WINDHR
CASM,PESTS,ASSIM g CH2O,Cumulative assimilate reduction,
CEW,PESTS,CEW #/row-m,Corn Earworm,
CLAI,PESTS,DIS LAI m2/m2,Cumulative leaf area consumed,
CLFM,PESTS,DIS LEAF kg/ha,Cumulative leaf mass consumed,
CPO%,PESTS,DIS PLTPOP %,Cumulative pl population reduction,
CRLF,PESTS,DIS ROOT cm/cm2,Cumulative root length consumed,
CRLV,PESTS,DIS ROOT cm/cm2,Cumulative root ln density consumed,
CRTM,PESTS,DIS ROOT kg/ha,Cumulative root mass consumed,
CSD#,PESTS,DIS SEED #/m2,Cumulative seed number consumed,
CSDM,PESTS,DIS SEED kg/ha,Cumulative seed mass consumed,
CSH#,PESTS,DIS SHELL #/m2,Cumulative shell number consumed,
CSHM,PESTS,DIS SHELL kg/ha,Cumulative shell mass consumed,
CSTM,PESTS,DIS STEM kg/ha,Cumulative stem mass consumed,
DASM,PESTS,ASSIM g CH2O/d,Daily carbohydrate pool reduction,
DLA,PESTS,DIS. LAI cm2/m2,Daily diseased leaf area increase,
DLA%,PESTS,DIS. LAI %/d,Daily % diseased leaf area increase,
DLAI,PESTS,DIS LAI m2/m2.d,Daily leaf area consumed,
DLFM,PESTS,DIS. LF kg/ha.d,Daily leaf mass consumed,
DPO%,PESTS,DIS PLPOP %/day,Daily plant population reduction,
DRLF,PESTS,DIS RT cm/cm2.d,Daily total root length consumed,
DRLV,PESTS,DIS RT cm/cm3.d,Daily root length density consumed,
DRTM,PESTS,DIS RT kg/ha.d,Daily root mass consumed,
DSD#,PESTS,DIS SEED #/m2.d,Daily seed number consumed,
DSDM,PESTS,DIS SEED kg/ha,Daily seed mass consumed,
DSH#,PESTS,DIS SHL #/m2.d,Daily shell number consumed,
DSHM,PESTS,DIS SHL kg/ha.d,Daily shell mass consumed,
DSTM,PESTS,DIS STEM kg/ha,Daily stem mass consumed,
FAW,PESTS,FAW #/m,Fall armyworm,
IBCUT,PESTS,"Cutworm, no. m-2",,
LFMIN,PESTS,Leafminer (Aproa,"erema Modicella-Deventer) no.m-2, m2 m-2 leaf damage",
PCLA,PESTS,"Defoliation, %",,
PDLA,PESTS,Diseased leaf ar,"ea, %",
PRP,PESTS,Reduction in pho,"tosynthetic rate, %",
PSTDS,PESTS,General pest and,"diseases losses due to rot, tikka, leafminer, etc.",
RTWM,PESTS,RTWM #/m,Root worm,
SGSB,PESTS,SGSB #/m,Southern green stinkbug,
SL,PESTS,SB LOOPER #/m,Soybean looper,
VBC5,PESTS,VBC5 #/m,5 instar velvetbean caterpillar,
VBC6,PESTS,VBC6 #/m,6 instar velvetbean caterpillar,
UFCEW,PESTS,Corn earworm (He,"liothis zea), no. m-2",
UFRKN,PESTS,Root-knot nemato,"de (Meloidogyne spp.), no. cm-3 soil",
UFSBL,PESTS,Soybean looper (,"Pseudoplusia includens), no. m-2",
UFSKB,PESTS,Southern green s,"tinkbug (Mezara viridula), no. m-2",
UFVBC,PESTS,Velvetbean cater,"pillar (Anticarsia gemmatalis), no. m-2",
AP1D,EXPERIMENTAL DATA,APEX 1cm day,Apex 1cm date (YrDoy),
BR1D,EXPERIMENTAL DATA,Branch 1 date,Date of first branching (YrDoy),B1DAT
BR2D,EXPERIMENTAL DATA,Branch 2 date,Date of second branching  (YrDoy),B2DAT
BR3D,EXPERIMENTAL DATA,Branch 3 date,Date of third branching (YrDoy),B3DAT
BR4D,EXPERIMENTAL DATA,Branch 4 dap,Date of fourth branching (YrDoy),B4DAT
BR1P,EXPERIMENTAL DATA,Branch 1 dap,Days after planting to the first branch,B1DAP
BR2P,EXPERIMENTAL DATA,Branch 2 dap,Days after planting to the second branch,B2DAP
BR3P,EXPERIMENTAL DATA,Branch 3 dap,Days after planting to the third branch,B3DAP
BR4P,EXPERIMENTAL DATA,Branch 4 dap,Days after planting to the fourth branch,B4DAP
CDWA,EXPERIMENTAL DATA,CANOPY+D kg/ha,Tops+dead wt (kg [dm]/ha,
CHN%,EXPERIMENTAL DATA,CHAFF N %,Chaff N (%),
CHWA,EXPERIMENTAL DATA,CHAFF WT kg/ha,Chaff weight (kg [dm]/ha),
DRID,EXPERIMENTAL DATA,DOUBLE RIDGES d,Double ridges date (YrDoy),
DWAD,EXPERIMENTAL DATA,DEAD WT kg/ha,Dead material weight (kg [dm]/ha),
EDAT0,EXPERIMENTAL DATA,PRIMARY EMERGE,Primary stalk emergence day (dap),
EDAT1,EXPERIMENTAL DATA,TILLR 1 EMERGE,First tiller emergence day (dap),
EDAT2,EXPERIMENTAL DATA,TILLR 2 EMERGE,Second tiller emergence day (dap),
EEMD,EXPERIMENTAL DATA,EAR EMERGENCE d,Ear emergence date (YrDoy),
EGWA,EXPERIMENTAL DATA,EAR+GRAIN kg/ha,Ear plus grain weight (kg [dm]/ha),
EGWS,EXPERIMENTAL DATA,EAR+GRAIN g/s,Ear+grain weight (g [dm]/shoot,
G#PD,EXPERIMENTAL DATA,GRAIN NO #/pl,Grain number (no/plant),
G#SD,EXPERIMENTAL DATA,GRAIN NO #shoot,Grain number (no/shoot),
GW%M,EXPERIMENTAL DATA,GRAIN H20 %,Grain moisture at maturity (%),
GWAM,EXPERIMENTAL DATA,GRAIN WT kg/ha,Grain wt at maturity (kg [dm]/ha),
GWGM,EXPERIMENTAL DATA,GRAIN WT mg,Unit wt at maturity (mg [dm]/grain),
GWPM,EXPERIMENTAL DATA,GRAIN WT g/pl,Grain wt at maturity (g [dm]/plan,
GYAM,EXPERIMENTAL DATA,GRAIN YLD kg/ha,Grain yield at maturity (kg [fm]/ha),
GYPM,EXPERIMENTAL DATA,GRAIN YLD g/pl,Grain yld at maturity (g [fm]/plan,
GYVM,EXPERIMENTAL DATA,TEST WT kg/hl,Test weight at maturity (kg [fm]/hl),
HWAC,EXPERIMENTAL DATA,COR YIELD kg/ha,Corrected yield (kg [dm]/ha),
HYAM,EXPERIMENTAL DATA,HARVEST kg/ha,Harvest yld at maturity (kg [fm]/ha),
L#IR,EXPERIMENTAL DATA,LEAF # INCREASE,Leaf number increase rate (#/day),
LAASH,EXPERIMENTAL DATA,LEAF cm2/stalk,Total leaf area/stalk (avg) at harvest(cm2/stalk),
LAFD,EXPERIMENTAL DATA,FLAG AREA cm2,Flag leaf area (cm2/leaf),
LAIXD,EXPERIMENTAL DATA,LAI max date,Day at which maximum leaf area index occurs (dap),
LAIXT,EXPERIMENTAL DATA,LAI at stalkmax,LAI at maximum tiller population,
LALD,EXPERIMENTAL DATA,LEAF AREA cm2,Leaf area (cm2/leaf),
LALN,EXPERIMENTAL DATA,"LEAF AREA,NEW","Leaf area,new leaves (cm2/[leaf])",
LAPD,EXPERIMENTAL DATA,LEAF AREA cm2/p,Leaf area (cm2/plant),
LARD,EXPERIMENTAL DATA,LEAF APPEARANCE,Leaf appearance rate (#/day),
LF3D,EXPERIMENTAL DATA,LEAF 3 FULL day,"Full expansion, leaf 3 (Yrdoy)",
LF5D,EXPERIMENTAL DATA,LEAF 5 FULL day,"Full expansion, leaf 5 (Yrdoy)",
LLFD,EXPERIMENTAL DATA,LAST LEAF day,Last leaf date (YrDoy),
LWAM,EXPERIMENTAL DATA,LEAF WT kg/ha,Leaf weight (kg/ha),
LWASH,EXPERIMENTAL DATA,LEAF WT g/stalk,Total leaf weight/stalk (avg) at harvest(g/stalk),
LWPD,EXPERIMENTAL DATA,LEAF WT g/plant,Leaf weight (g/plant),
NAPSH,EXPERIMENTAL DATA,NODE #/stalk,Average nodes per stalk at harvest (nodes/stalk),
PARID,EXPERIMENTAL DATA,PAR INTERCEPT %,PAR interception (%),
RLAD,EXPERIMENTAL DATA,ROOT LN cm/cm2,Root length (cm/cm2),
RLWD,EXPERIMENTAL DATA,ROOT L/W cm/g,Root length/weight (cm/g),
RWLD,EXPERIMENTAL DATA,ROOT W/L g/cm,Root weight/length (g/cm),
S#AD,EXPERIMENTAL DATA,SHOOT NO #/m2,Shoot (apex) number (no/m2),
S#PD,EXPERIMENTAL DATA,SHOOT NO #/pl,Shoot (apex) number (no/plant),
S#AH,EXPERIMENTAL DATA,STALK HARV POP,Stalk population at harvest (stalks/m2),
SCWA,EXPERIMENTAL DATA,STM+CHAFF kg/ha,Stem plus chaff (kg/ha),
SDWT,EXPERIMENTAL DATA,SEED WT g/pl,Seed weight (g/plant),
SHTH,EXPERIMENTAL DATA,STALK HARV HT,Average height of stalks at harvest (m),
SP#P,EXPERIMENTAL DATA,SPIKELETS #/pl,Spikelet number (no/plant),
SPDAP,EXPERIMENTAL DATA,SPROUT DAY,Primary stalk bud sprouts from sett (dap),
SPDAT,EXPERIMENTAL DATA,SPROUT DAY,Primary stalk bud sprouts from sett (YrDoy),
SWPD,EXPERIMENTAL DATA,STEM WT g/plant,Stem weight (g [dm]/plant),
T#AD1,EXPERIMENTAL DATA,TILLER # DATE 1,Tiller population at user-determined date 1 (YrDoy),
T#AD2,EXPERIMENTAL DATA,TILLER # DATE 2,Tiller population at user-determined date 2 (YrDoy),
T#AD3,EXPERIMENTAL DATA,TILLER # DATE 3,Tiller population at user-determined date 3 (YrDoy),
T#MX,EXPERIMENTAL DATA,TILLER MAX POP,Tiller maximum population (stalks/m2),
T#MXD,EXPERIMENTAL DATA,MAX POP DATE,Tiller maximum population day (dap),
T#PD,EXPERIMENTAL DATA,TILLER NO.#/pl,Tiller number (no/plant),
TDECD,EXPERIMENTAL DATA,TLR DECLINE DAY,Initiation of tiller population decline (dap),
TDWA,EXPERIMENTAL DATA,TOTAL+D  kg/ha,Tops+roots+storage+dead (kg [dm]/ha),
TNIM,EXPERIMENTAL DATA,TOTAL N kg/ha,Total N at maturity (kg [N]/ha),
TSPD,EXPERIMENTAL DATA,TERMINAL SPKL d,Terminal spikelet date (YrDoy),
TWAM,EXPERIMENTAL DATA,TOTAL WT kg/ha,"Total wt, maturity (kg [dm]/ha)",
VWAM,EXPERIMENTAL DATA,VEG WT kg/ha,"Veg (leaf+stemt) wt,maturity (kg [dm]/ha)",
Z21D,EXPERIMENTAL DATA,ZADOKS 21 day,Zadoks 21 date (YrDoy),
Z30D,EXPERIMENTAL DATA,ZADOKS 30 day,Zadoks 30 date (YrDoy),
Z31D,EXPERIMENTAL DATA,ZADOKS 31 day,Zadoks 31 date (YrDoy),
Z37D,EXPERIMENTAL DATA,ZADOKS 37 day,Zadoks 37 date (YrDoy),
Z39D,EXPERIMENTAL DATA,ZADOKS 39 day,Zadoks 39 date (YrDoy),
ABUND,USER,BUND HT mm,Bund height (mm),
DLYR3,USER,Tick. Lyr1-3 cm,Cum. tickness of soil layer from 1 to 3 after til.(cm),
EFAC,USER,CUM FLD EVAP mm,Cumulative floodwater evaporation (mm),
EFAD,USER,FLD EVAP mm/d,Floodwater evaporation rate (mm/d),
FALG,USER,ALGAL ACTIVITY,Floodwater Photosynth. Act. Index (0 to 1),
FALI,USER,FLOOD LT INDX,Floodwater Light Index (0 to 1),
FDEN,USER,DNITRF kgN/ha/d,Floodwater Denitrification Rate (kg [N]/(ha.day)),
FL3C,USER,FLD NH3 mg N/l,Floodwater Aqueous Ammonia (NH3) Conc. (mg [N]/l),
FL3N,USER,FLD NO3 mg N/l,Floodwater Nitrate N (NO3) Conc. (mg [N]/l),
FL4N,USER,FLD NH4  kgN/ha,Floodwater Ammoniacal N (kg [N]/ha),
FL4C,USER,FLD NH4 mg N/l,Floodwater Ammonium N (NH4) Conc. (mg [N]/l),
FLBD,USER,Puddle BD g/cc,Puddled Soil Surface Layer Bulk Density (g/cc),
FLOD,USER,FLOOD DEPTH mm,Flood water depth (mm),
FLNI,USER,FLOOD NIT INDX,Floodwater Nitrogen Index (0 to 1),
FLPH,USER,FLOOD pH,Maximum Daytime Floodwater pH,
FLTI,USER,FLOOD TMP INDX,Floodwater Temperature Index (0 to 1),
FLUR,USER,FLD UREA kgN/ha,Floodwater Urea N (kg N/Ha),
FROD,USER,FLOOD RO mm/d,Flood water runoff over bund (mm/d),
FUHY,USER,UREA HYD kgN/ha,Urea Hydrolysis Rate in Floodwater (kg [N]/(ha.day)),
INFD,USER,INFILT mm/d,Infiltration rate (mm/d),
IRRD,USER,Eff Irrig mm/d,Daily effective irrigation (mm/d),
IRRAD,USER,App Irrig mm/d,Daily applied irrigation (includes losses) (mm/d),
TL#C,USER,TILLAGE #,Number of tillage operations,
TLBD,USER,BD Lyr1-3 g/cm3,Bulk Density average Lyr 1 to 3 after tillage (g/cm3),
TLDD,USER,TILL DEP cm,Depth of last tillage operation (cm),
CLDD,WEATHER,CLOUD FRAC,Relative cloudiness factor (0-1),
CO2D,WEATHER,CO2 ppm,Atmospheric CO2 concentration (ppm),
DAYLD,WEATHER,DAYLENGTH hr,Day length sunrise to sunset (hr),
OZON7,WEATHER,Ozone ppb,"Daily 7-hour mean ozone concentration (9:00-15:59), ppb",
PARD,WEATHER,PAR,Daily PAR or photon flux density (moles[quanta]/(m2.d)),
PRED,WEATHER,PRECIP mm/d,Precipitation depth (mm/d),
CPRED,WEATHER,Cum. PRECIP mm,Cumulative precipitation depth (mm),
SRAD,WEATHER,SRAD MJ/m2.d,Solar radiation (MJ/(m2.d)),
TAVD,WEATHER,AVG TEMP oC,Average daily temperature (oC),
TDWD,WEATHER,DEWPOINT oC,Dewpoint temperature (oC),
TDYD,WEATHER,AV DAY TMP oC,Average temperature during daylight hours (oC),
TGAD,WEATHER,AV GRWTH TMP oC,Average daily air temperature for growth (oC),
TGRD,WEATHER,AV GRWTH TMP oC,Average air temp. daylight hours for growth (oC),
TMEAN,WEATHER,MEAN TEMP oC,Mean Temperature (TMAX+TMIN/2; oC),
TMND,WEATHER,MIN TEMP oC,Minimum daily temperature (oC),
TMXD,WEATHER,MAX TEMP oC,Maximum daily temperature (oC),
TWLD,WEATHER,TWILIGHT hr,Twilight to twilight day length (hr),
VPD,WEATHER,Vapor Pres Def,Vapor pressure deficit,
VPDF,WEATHER,Vapor Pres Fact,Vapor pressure deficit factor,
WDSD,WEATHER,WIND SPEED km/d,Wind speed (km/d),
WDATE,WEATHER,WEATHER DATE,"Date for weather data (YYYYDDD, for forecast ensembles)",
ACO2,OTHER MODELS,AMBIENT CO2,Ambient CO2 level (ppm),
AWAD,OTHER MODELS,ASSIM kg/ha.d,Assimilate production (kg/(ha.d)),
CHNAD,OTHER MODELS,CHAFF N kh/ha,Chaff N (kg/ha),
CHWAD,OTHER MODELS,CHAFF WT kg/ha,Chaff weight (kg/ha),
CN%D,OTHER MODELS,TOPS N %,Tops (ie.canopy) N (%),
CNAD,OTHER MODELS,CROP N kg/ha,Tops N (kg/ha),
CO2FD,OTHER MODELS,CO2 FACTOR,CO2 factor for photosynthesis (0-10),
DAYLF,OTHER MODELS,DAYLENGTH FAC,Daylength factor (0-1),
DNAG,OTHER MODELS,DEAD N kg/ha.d,Dead N increment (kg/(ha.d)),
DOY,OTHER MODELS,DAY OF YEAR,Day of year,
