RUNNO,TRNO,R#,O#,P#,CropCode,MODEL,EXNAME,TNAM,CultivarCode,WSTA,WYEAR,SoilProfileID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,EYLDH,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CropCodeST
1,1,1,0,1,MZ,MZCER048,TOUCAN38,W1F123C434               ,MZ990001,WEATHERS,2024,US02126378,        +048.96,        -101.79,        0,2024001,2024135,2024152,2024233,2024310,2024310,2024,-99,7314,1513,1513,5862,2179,0.246050492,615,87.8256531,0.206814766,2.37195754,-99.0000000,-99,-99,-99,-99,-99,0,0,404,928,234,694,348,13242,494,2,122,0,113,21,28,74,83,17,10.2740879,-99,-99,-99,-99,-99,-99,-99,-99,0,20968,20968,-99,-99,158999,158999,611.953125,7.11308002,27.2609653,10.3387184,31.1982021,-99.0000000,5.63920736,2.13866878,6.45366526,-99.0000000,59.9518051,64.7267303,12.4016390,13.3893805,175,23.9548569,10.5057116,17.2919941,13.7092495,434.000000,268.300110,707.449402,473.009155,234.440430,32,
1,1,1,0,1,MZ,MZCER048,TOUCAN11,W1F123C434               ,MZ990003,WEATHERS,2024,US02126381,        +048.96,        -101.54,        0,2024001,2024135,2024151,2024202,2024252,2024252,2024,-99,8765,4551,4551,4233,6555,0.236034364,1928,275.428406,0.519180000,1.18046403,-99.0000000,-99,-99,-99,-99,-99,0,0,411,800,154,647,358,10349,394,2,122,0,112,12,11,56,99,78,11.1419048,-99,-99,-99,-99,-99,-99,-99,-99,0,20489,20489,-99,-99,155097,155097,483.750000,3.53954172,33.1765404,15.1642151,57.0592575,-99.0000000,17.2255802,7.87340736,29.6257172,-99.0000000,71.8462677,78.2611160,37.3032799,40.6339302,117,25.4529896,12.4102554,20.3042698,15.0554733,434.000000,264.200104,578.021667,425.894135,153.616531,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN29,W1F123C434               ,MZ990003,WEATHERS,2023,US02126369,        +048.96,        -102.54,        0,2023001,2023135,2023145,2023195,2023246,2023246,2023,-99,10048,4406,4406,5678,5869,0.232339278,1896,270.900513,0.438500315,1.86076915,-99.0000000,-99,-99,-99,-99,-99,0,0,316,772,232,540,239,1816,81,2,122,0,122,6,5,37,91,65,4.99036646,-99,-99,-99,-99,-99,-99,-99,-99,0,6579,6579,-99,-99,55342,55342,250.144531,4.21286154,64.2427063,17.8270950,43.3219261,-99.0000000,28.1713505,7.81743813,18.9972878,-99.0000000,82.3570557,82.3570557,36.1147537,36.1147537,111,27.4756737,13.9063053,21.2810802,15.1699619,434.000000,156.400024,563.611755,333.730255,231.927841,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN13,W1F123C434               ,MZ990001,WEATHERS,2021,US02126390,        +048.96,        -100.79,        0,2021001,2021135,2021149,2021217,2021298,2021298,2021,-99,8727,2724,2724,6065,3658,0.349267066,780,111.415695,0.312144399,2.22971249,-99.0000000,-99,-99,-99,-99,-99,0,0,396,968,278,691,342,15456,514,2,122,0,134,40,21,112,96,38,6.71076727,-99,-99,-99,-99,-99,-99,-99,-99,0,29842,29842,-99,-99,226651,226651,1003.07812,8.29888344,25.1053677,12.2387753,31.4381428,-99.0000000,7.83659077,3.82030940,9.81335449,-99.0000000,71.5297470,65.1240997,22.3278694,20.3283577,163,25.5454006,11.9693260,18.3472424,14.0085325,434.000000,347.600128,713.031250,435.450500,277.580933,32,
1,1,1,0,1,MZ,MZCER048,TOUCAN18,W1F123C434               ,MZ990001,WEATHERS,2021,US02126366,        +048.96,        -102.79,        0,2021001,2021135,2021151,2021216,2021296,2021296,2021,-99,6990,1736,1736,5316,2354,0.335875094,517,73.8157806,0.248284757,2.10558581,-99.0000000,-99,-99,-99,-99,-99,0,0,268,993,255,738,222,10985,488,2,122,0,106,18,19,53,76,23,3.49322224,-99,-99,-99,-99,-99,-99,-99,-99,0,15787,15787,-99,-99,119500,119500,373.750000,5.93702984,32.3909378,9.52185822,27.4193268,-99.0000000,8.04448414,2.36481094,6.80975485,-99.0000000,57.2947960,65.9430695,14.2295084,16.3773594,161,26.0670834,12.1732931,18.8459682,14.0579767,434.000000,215.800034,734.096741,479.168549,254.928406,32,
1,1,1,0,1,MZ,MZCER048,TOUCAN42,W1F123C434               ,MZ990002,WEATHERS,2021,US02126379,        +048.96,        -101.71,        0,2021001,2021135,2021149,2021204,2021270,2021270,2021,-99,9266,3874,3874,5441,4850,0.417104632,929,132.682159,0.418075353,2.29332972,-99.0000000,-99,-99,-99,-99,-99,0,0,351,910,249,661,301,13013,413,2,122,0,127,24,11,74,95,52,5.43197060,-99,-99,-99,-99,-99,-99,-99,-99,0,22126,22126,-99,-99,167611,167611,613.812500,8.09858322,30.5009327,14.1849461,37.2248726,-99.0000000,12.7518072,5.93043184,15.5629473,-99.0000000,75.9523392,72.9620895,31.7540989,30.5039368,135,27.1066685,13.2600002,19.9170380,14.6748066,434.000000,303.800079,653.240784,405.545929,248.924576,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN45,W1F123C434               ,MZ990001,WEATHERS,2021,US02126375,        +048.96,        -102.04,        0,2021001,2021135,2021150,2021218,2021298,2021298,2021,-99,7814,2239,2239,5637,2987,0.339461386,660,94.2212753,0.286539972,2.18959785,-99.0000000,-99,-99,-99,-99,-99,0,0,326,968,262,706,278,11812,501,2,122,0,120,23,22,76,84,30,4.07846212,-99,-99,-99,-99,-99,-99,-99,-99,0,22934,22934,-99,-99,173665,173665,626.812500,6.78584576,28.3204708,10.9540539,29.8239994,-99.0000000,8.11525822,3.13889480,8.54609585,-99.0000000,64.0460510,65.1134872,18.3524590,18.6583328,163,25.6901894,12.0147295,18.3472424,14.0085325,434.000000,275.900024,713.308411,451.317230,261.990967,32,
1,1,1,0,1,MZ,MZCER048,TOUCAN43,W1F123C434               ,MZ990003,WEATHERS,2022,US02126384,        +048.96,        -101.29,        0,2022001,2022135,2022151,2022199,2022249,2022249,2022,-99,8003,3740,3740,4281,5100,0.215762317,1733,247.621613,0.467310995,1.07812536,-99.0000000,-99,-99,-99,-99,-99,0,0,459,761,144,617,395,11168,366,2,122,0,105,12,18,59,92,62,7.74541140,-99,-99,-99,-99,-99,-99,-99,-99,0,23490,23490,-99,-99,177868,177868,519.781250,3.86586428,36.4272270,13.7265205,55.5882149,-99.0000000,17.0232105,6.41469288,25.9775467,-99.0000000,65.5988693,76.2196426,30.6557369,35.6190491,114,25.6666660,12.7517500,21.5342102,15.1136112,434.000000,219.700027,583.036499,440.354004,143.970490,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN15,W1F123C434               ,MZ990001,WEATHERS,2021,US02126377,        +048.96,        -101.88,        0,2021001,2021135,2021150,2021218,2021298,2021298,2021,-99,7726,2185,2185,5603,2929,0.343267053,637,90.9447632,0.282836020,2.12957835,-99.0000000,-99,-99,-99,-99,-99,0,0,326,973,263,710,279,13994,496,2,122,0,118,29,21,81,83,30,6.56238413,-99,-99,-99,-99,-99,-99,-99,-99,0,22194,22194,-99,-99,167973,167973,677.531250,6.46362877,28.0040855,10.7810011,29.4225788,-99.0000000,7.91953516,3.04885912,8.32068443,-99.0000000,63.3305588,65.4773560,17.9098358,18.5169487,163,25.6901894,12.0147295,18.3472424,14.0085325,434.000000,275.900024,716.661499,454.062927,262.598602,32,
1,1,1,0,1,MZ,MZCER048,TOUCAN38,W1F123C434               ,MZ990001,WEATHERS,2025,US02126378,        +048.96,        -101.79,        0,2025001,2025135,2025151,2025239,2025310,2025310,2025,-99,5981,996,996,5043,1850,0.171459138,581,83.0046997,0.166554078,1.93633604,-99.0000000,-99,-99,-99,-99,-99,0,0,500,913,226,687,453,12898,494,2,122,0,111,22,28,68,70,10,5.29853964,-99,-99,-99,-99,-99,-99,-99,-99,0,20976,20976,-99,-99,159316,159316,534.687500,6.25318289,14.6138372,9.02686977,26.4684372,-99.0000000,2.43342233,1.50310862,4.40739012,-99.0000000,49.0282402,53.8868942,8.16393471,8.97297287,175,22.7554283,10.1874237,16.4028549,13.7092495,434.000000,409.300110,662.626770,436.642975,225.984070,1,
